operation	object_size	concurrency	throughput_ops	mb_per_sec	latency_mean_ms	latency_min_ms	latency_max_ms	total_ops	duration_seconds
create	10K	1	0	MiB/s	[	:	min=4.21ms	0	60
create	10K	8	0	MiB/s	[	:	min=4.17ms	0	60
create	10K	32	0	MiB/s	[	:	min=4.51ms	0	60
