DateTimeISO8601,OpType,Concurrency,NodeCount,ConcurrencyCurr,ConcurrencyMean,CountSucc,CountFail,Size,StepDuration[s],DurationSum[s],TPAvg[op/s],TPLast[op/s],BWAvg[MB/s],BWLast[MB/s],DurationAvg[us],DurationMin[us],DurationLoQ[us],DurationMed[us],DurationHiQ[us],DurationMax[us],LatencyAvg[us],LatencyMin[us],LatencyLoQ[us],LatencyMed[us],LatencyHiQ[us],LatencyMax[us]
"2026-04-28T17:28:13,917",READ,4,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0
"2026-04-28T17:28:14,923",READ,4,1,4,3.6,1095,0,1121280,1.007,2.745749,1095.0,1085.0,1.0693359375,1.0595703125,2702.5088582677167,1671,44088,2647.597440944882,1661,41493
"2026-04-28T17:28:15,926",READ,4,1,4,3.75,2457,0,2515968,2.01,6.188322,1228.5,1259.465274236682,1.19970703125,1.2299465568717598,2600.135294117647,1612,44088,2547.967226890756,1606,41493
"2026-04-28T17:28:16,930",READ,4,1,4,3.8,3746,0,3835904,3.015,9.315097,1248.6666666666667,1274.3420582380675,1.2194010416666667,1.2444746662481128,2528.5279587404993,1521,44088,2481.78555917481,1514,41493
"2026-04-28T17:28:17,930",READ,4,1,4,3.75,4995,0,5114880,4.015,12.176036,1248.75,1260.21918389924,1.219482421875,1.2306827967766016,2449.413800040233,1420,44088,2405.5234359283845,1411,41493
"2026-04-28T17:28:18,936",READ,4,1,4,3.76,6298,0,6449152,5.02,14.866556,1259.6,1281.5727322505372,1.230078125,1.2515358713384153,2363.8982350135157,1420,44088,2322.5765622515505,1411,41493
"2026-04-28T17:28:19,939",READ,4,1,4,3.716666666666667,7655,0,7838720,6.024,17.737273,1275.8333333333333,1318.5058093911534,1.2459309895833333,1.2876033294835483,2317.0833442194644,1420,44088,2278.2141084258656,1411,41493
"2026-04-28T17:28:20,941",READ,4,1,4,3.753623188405797,9541,0,9769984,7.026,20.873121,1363.0,1672.1735898201491,1.3310546875,1.6329820213087394,2228.367780506032,1404,44088,2193.255578093306,1401,41493
"2026-04-28T17:28:21,944",READ,4,1,4,3.7721518987341773,11366,0,11638784,8.029,24.386145,1420.75,1776.9958728915701,1.387451171875,1.735347532120674,2165.347629195525,1385,44088,2133.3901616053986,1371,41493
"2026-04-28T17:28:22,947",READ,4,1,4,3.797752808988764,13078,0,13391872,9.032,27.852564,1453.111111111111,1722.0039931035726,1.4190538194444444,1.6816445245152076,2152.106629578118,1376,44088,2120.737289445217,1371,41493
"2026-04-28T17:28:23,953",READ,4,1,4,3.808080808080808,14973,0,15332352,10.038,31.348384,1497.3,1831.99044621688,1.46220703125,1.7890531701336718,2108.7302569621957,1348,44088,2079.2735772904616,1338,41493
"2026-04-28T17:28:24,956",READ,4,1,4,3.8256880733944953,16952,0,17358848,11.04,34.84411,1541.090909090909,1914.8042785661457,1.5049715909090908,1.8699260532872517,2066.9183770316763,1298,44088,2039.4926444418081,1295,41493
"2026-04-28T17:28:25,957",READ,4,1,4,3.8403361344537816,18992,0,19447808,12.042,38.332824,1582.6666666666667,1981.300656785287,1.5455729166666667,1.9348639226418818,2027.6553292779688,1271,44088,2001.8500396720444,1258,41493
"2026-04-28T17:28:26,958",READ,4,1,3,3.8372093023255816,20892,0,21393408,13.043,41.715268,1607.076923076923,1943.815492479271,1.5694110576923077,1.898257316874288,1999.485596510569,1262,44088,1974.7396347601016,1234,41493
"2026-04-28T17:28:27,961",READ,4,1,4,3.841726618705036,22974,0,23525376,14.046,45.281125,1641.0,2012.2011438298666,1.6025390625,1.9650401795213541,1972.8618421052631,1262,44088,1949.3835395608226,1234,41493
"2026-04-28T17:28:28,967",READ,4,1,4,3.838926174496644,24663,0,25254912,15.051,48.779217,1644.2,1807.8990561781022,1.6056640625,1.765526422048928,1977.8298260552244,1262,44088,1953.9828488018488,1234,41493
"2026-04-28T17:28:29,968",READ,4,1,4,3.8417721518987342,26560,0,27197440,16.053,51.89554,1660.0,1853.4755450788666,1.62109375,1.8100347119910807,1968.6483820795872,1262,44088,1945.1781419521262,1234,41493
"2026-04-28T17:28:30,972",READ,4,1,4,3.8273809523809526,28327,0,29006848,17.057,55.142663,1666.2941176470588,1809.5586246986948,1.6272403492647058,1.767147094432319,1956.3848364436244,1262,44088,1933.4301426239977,1234,41493
"2026-04-28T17:28:31,975",READ,4,1,4,3.837078651685393,30368,0,31096832,18.059,58.653147,1687.111111111111,1940.0544622194916,1.6475694444444444,1.8945844357612223,1940.3581778483526,1262,44088,1918.06973666799,1234,41493
"2026-04-28T17:28:32,976",READ,4,1,4,3.845744680851064,32376,0,33153024,19.061,62.142787,1704.0,1978.5793896194136,1.6640625,1.9322064351752086,1927.2069158008994,1262,44088,1905.4693440843541,1234,41493
"2026-04-28T17:28:33,978",READ,4,1,4,3.8535353535353534,34315,0,35138560,20.063,65.610988,1715.75,1963.042252117525,1.675537109375,1.9170334493335206,1917.4967998363386,1262,44088,1896.2859105123184,1234,41493
"2026-04-28T17:28:34,980",READ,4,1,4,3.855769230769231,36180,0,37048320,21.065,69.144129,1722.857142857143,1911.1816578614416,1.6824776785714286,1.866388337755314,1914.5013013622772,1262,44088,1893.4449828330933,1234,41493
"2026-04-28T17:28:35,982",READ,4,1,4,3.8623853211009176,38157,0,39072768,22.067,72.677522,1734.409090909091,1928.766203839751,1.6937588778409092,1.8835607459372568,1907.9471280058806,1262,44088,1887.2915310301375,1234,41493
"2026-04-28T17:28:36,984",READ,4,1,4,3.8596491228070176,40246,0,41211904,23.068,76.216497,1749.8260869565217,2033.2138834059315,1.7088145380434783,1.985560433013605,1895.6969779878125,1262,44088,1875.5558512622808,1234,41493
"2026-04-28T17:28:37,985",READ,4,1,3,3.857142857142857,42355,0,43371520,24.07,79.820201,1764.7916666666667,2069.1095551610774,1.7234293619791667,2.0206147999619897,1884.5520245543619,1262,44088,1864.8099870145202,1234,41493
"2026-04-28T17:28:38,987",READ,4,1,4,3.8623481781376516,44330,0,45393920,25.072,82.947505,1773.2,2017.8385378263213,1.731640625,1.9705454470960169,1878.6380313908455,1262,44088,1859.1189500147216,1234,41493
"2026-04-28T17:28:39,988",READ,4,1,3,3.8638132295719845,46400,0,47513600,26.072,86.501896,1784.6153846153845,2041.961182621262,1.7427884615384615,1.9941027174035761,1871.0394531925938,1262,44088,1851.900653227202,1234,41493
"2026-04-28T17:28:40,990",READ,4,1,4,3.865168539325843,48319,0,49478656,27.075,90.032013,1789.5925925925926,1987.623351825146,1.7476490162037037,1.9410384295167442,1867.57411632924,1228,44088,1848.5382716561567,1226,41493
"2026-04-28T17:28:41,995",READ,4,1,3,3.8555956678700363,50003,0,51203072,28.079,93.515544,1785.8214285714287,1796.9610301136922,1.7439662388392858,1.7548447559704026,1873.0830429034972,1228,44088,1853.93095781757,1226,41493
