operation	object_size	concurrency	throughput_ops	mb_per_sec	latency_mean_ms	latency_p50_ms	latency_p75_ms	latency_p95_ms	total_ops	total_errors	duration_seconds
create	10K	32	2655.0819672131147	25.928534836065573	2.872	2.324	2.855	0	161960	407	61.018
create	1M	32	485.6885245901639	485.6885245901639	15.819	14.138	15.956	0	29627	0	61.023
create	10K	1	387.26229508196724	3.781858350409836	2.364	2.167	2.405	0	23623	59	61.031
create	10K	8	2348.1639344262294	22.931288422131146	2.734	2.296	2.798	0	143238	359	61.017
create	10K	32	2804.9508196721313	27.392097848360656	2.755	2.248	2.737	0	171102	394	61.031
read	10K	1	0.0	0.0	0.000	0	0	0	0	21011	61.019
read	10K	8	0.0	0.0	0.000	0	0	0	0	29409	61.026
read	10K	32	0.0	0.0	0.000	0	0	0	0	29539	61.026
mixed	10K	1	0	0	0	0	0	0	0	0	0
mixed	10K	8	0	0	0	0	0	0	0	0	0
mixed	10K	32	0	0	0	0	0	0	0	0	0
create	1M	1	70.80327868852459	70.80327868852459	13.542	12.988	14.425	0	4319	0	61.027
create	1M	8	445.8688524590164	445.8688524590164	15.141	14.118	15.812	0	27198	0	61.021
create	1M	32	474.9344262295082	474.9344262295082	16.134	14.318	16.551	0	28971	0	61.019
read	1M	1	0.0	0.0	0.000	0	0	0	0	17375	61.049
read	1M	8	0.0	0.0	0.000	0	0	0	0	28427	61.036
read	1M	32	0.0	0.0	0.000	0	0	0	0	28360	61.071
mixed	1M	1	0	0	0	0	0	0	0	0	0
mixed	1M	8	0	0	0	0	0	0	0	0	0
mixed	1M	32	0	0	0	0	0	0	0	0	0
mixed	1M	32	0	0	0	0	0	0	0	0	0
