operation	object_size	concurrency	throughput_ops	mb_per_sec	latency_mean_ms	latency_p50_ms	latency_p75_ms	latency_p95_ms	total_ops	total_errors	duration_seconds
create	10K	32	2754.311475409836	26.89757300204918	2.800	2.297	2.778	0	168013	0	61.023
create	1M	32	484.9344262295082	484.9344262295082	15.837	14.234	16.187	0	29581	0	61.028
create	10K	1	357.7049180327869	3.4932120901639343	2.555	2.323	2.671	0	21820	0	61.019
create	10K	8	2453.9180327868853	23.964043288934427	2.682	2.237	2.655	0	149689	0	61.027
create	10K	32	2820.4754098360654	27.543705174180328	2.734	2.287	2.723	0	172049	0	61.03
read	10K	1	393.2950819672131	3.8407722848360657	2.368	2.229	2.445	0	23991	1	61.024
read	10K	8	2390.754098360656	23.34720799180328	2.879	2.434	2.872	0	145836	5	61.025
read	10K	32	2628.7049180327867	25.670946465163933	2.949	2.424	2.925	0	160351	8	61.027
mixed	10K	1	378.180	3.693	2.444	2.239	2.481		46138	1	2
mixed	10K	8	2398.402	23.422	2.806	2.302	2.725		292605	7	2
mixed	10K	32	2754.221	26.897	2.804	2.261	2.744		336015	8	2
create	1M	1	71.98360655737704	71.98360655737704	13.307	12.666	14.173	0	4391	0	61.019
create	1M	8	435.08196721311475	435.08196721311475	15.231	14.110	15.823	0	26540	0	61.02
create	1M	32	493.3114754098361	493.3114754098361	15.655	13.994	16.013	0	30092	0	61.028
read	1M	1	180.0655737704918	180.0655737704918	5.264	4.725	5.791	0	10984	1	61.018
read	1M	8	739.1803278688525	739.1803278688525	8.918	8.271	9.801	0	45090	7	61.031
read	1M	32	839.2786885245902	839.2786885245902	8.968	7.972	9.570	0	51196	8	61.029
mixed	1M	1	115.656	115.656	9.442	12.543	13.387		14110	1	2
mixed	1M	8	602.336	602.336	11.950	14.083	15.811		73485	8	2
mixed	1M	32	690.057	690.057	12.177	14.452	16.436		84187	8	2
