operation	object_size	concurrency	throughput_ops	mb_per_sec	latency_mean_ms	latency_p50_ms	latency_p75_ms	latency_p95_ms	total_ops	total_errors	duration_seconds
create	10K	32	2649.4262295081967	25.873303022540984	2.912	2.360	2.914	0	161615	0	61.027
create	1M	32	502.0983606557377	502.0983606557377	15.394	13.999	15.850	0	30628	0	61.021
create	10K	1	325.21311475409834	3.1759093237704916	2.812	2.572	2.919	0	19838	0	61.027
create	10K	8	2496.934426229508	24.38412525614754	2.594	2.202	2.569	0	152313	1	61.022
create	10K	32	2837.8852459016393	27.713723104508198	2.721	2.258	2.689	0	173111	1	61.027
read	10K	1	395.78688524590166	3.8651063012295084	2.356	2.184	2.419	0	24143	1	61.023
read	10K	8	2368.1967213114754	23.126921106557376	2.798	2.417	2.816	0	144460	8	61.022
read	10K	32	2739.7377049180327	26.755251024590162	2.822	2.391	2.812	0	167124	8	61.02
mixed	10K	1	0	0	0	0	0	0	0	0	0
mixed	10K	8	0	0	0	0	0	0	0	0	0
mixed	10K	32	0	0	0	0	0	0	0	0	0
