operation	threads	status	succ	fail	tp	bw	lat_ms	dur_s	step_rows	step_zero_ratio	baseline_tp	ratio_vs_baseline	metrics_file
read	1	ok	13403	0	432.35483870967744	0.4222215221774194	2.0767427441617548	31.004	31	0.03225806451612903	1095.0	0.39484460156134926	/tmp/spt-branch-1k-aws-20260428_132301/smoke/read_t1/branch-1k-read-smoke-t1-20260428.172630.590/mt-002-20260428.172630.586-read.metrics.total.csv
read	4	ok	53658	4	1730.9032258064517	1.690335181451613	1.8499499794997951	31.007	31	0.03225806451612903	4769.0	0.36294888358281646	/tmp/spt-branch-1k-aws-20260428_132301/smoke/read_t4/branch-1k-read-smoke-t4-20260428.172748.921/mt-002-20260428.172748.917-read.metrics.total.csv
read	8	ok	17	6	0.5483870967741935	0.0005355342741935483	8.100058823529412	31.01	3	0.3333333333333333	6456.0	8.494223927729144e-05	/tmp/spt-branch-1k-aws-20260428_132301/smoke/read_t8/branch-1k-read-smoke-t8-20260428.172903.050/mt-002-20260428.172903.046-read.metrics.total.csv
read	32	ok	32	6	1.032258064516129	0.0010080645161290322	8.201125	31.003	2	0.5	3710.0	0.0002782366750717329	/tmp/spt-branch-1k-aws-20260428_132301/smoke/read_t32/branch-1k-read-smoke-t32-20260428.173015.286/mt-002-20260428.173015.283-read.metrics.total.csv
write	1	ok	11960	1	385.80645161290323	0.3767641129032258	2.3608896321070234	31.02	31	0.03225806451612903	557.0	0.6926507210285516	/tmp/spt-branch-1k-aws-20260428_132301/smoke/write_t1/branch-1k-write-smoke-t1-20260428.172348.990/mt-001-20260428.172348.985-create.metrics.total.csv
write	4	ok	56317	11	1816.6774193548388	1.7740990423387097	2.0276887085604702	31.018	31	0.03225806451612903	2213.0	0.8209116219407315	/tmp/spt-branch-1k-aws-20260428_132301/smoke/write_t4/branch-1k-write-smoke-t4-20260428.172429.211/mt-001-20260428.172429.207-create.metrics.total.csv
write	8	ok	28	0	0.9032258064516129	0.0008820564516129032	6391.0255	31.03	3	0.3333333333333333	3388.0	0.00026659557451346307	/tmp/spt-branch-1k-aws-20260428_132301/smoke/write_t8/branch-1k-write-smoke-t8-20260428.172509.687/mt-001-20260428.172509.683-create.metrics.total.csv
write	32	ok	32	0	1.032258064516129	0.0010080645161290322	5593.9789375	31.021	2	0.5	3460.0	0.00029834048107402574	/tmp/spt-branch-1k-aws-20260428_132301/smoke/write_t32/branch-1k-write-smoke-t32-20260428.172549.837/mt-001-20260428.172549.833-create.metrics.total.csv
