operation	object_size	concurrency	throughput_ops	mb_per_sec	latency_mean_ms	latency_min_ms	latency_max_ms	total_ops	duration_seconds
create	10K	1	214	2	4.49	4.49	4.49	1	60
create	10K	8	220	2	4.08	4.08	4.08	1	60
create	10K	32	200	1	3.94	3.94	3.94	1	60
