operation	object_size	concurrency	throughput_ops	mb_per_sec	latency_mean_ms	latency_p50_ms	latency_p75_ms	latency_p95_ms	total_ops	total_errors	duration_seconds
create	10K	32	2468.7868852459014	24.10924692622951	3.132	2.615	3.108	0	150596	0	61.02
create	1M	32	478.04918032786884	478.04918032786884	16.264	15.066	16.902	0	29161	0	61.019
create	10K	1	325.44262295081967	3.1781506147540983	2.830	2.645	2.949	0	19852	0	61.021
create	10K	8	2139.688524590164	20.89539574795082	3.049	2.634	3.065	0	130521	0	61.031
create	10K	32	2373.8360655737706	23.181992827868854	3.249	2.688	3.263	0	144804	0	61.02
read	10K	1	375.8196721311475	3.6701139856557377	2.483	2.327	2.595	0	22925	1	61.022
read	10K	8	2407.7704918032787	23.513383709016395	2.795	2.421	2.812	0	146874	7	61.03
read	10K	32	2571.0	25.107421875	3.020	2.515	3.021	0	156831	8	61.028
mixed	10K	1	188.836	1.844	1.217	2.243	2.485		23038	19594	2
