operation	object_size	concurrency	throughput_ops	mb_per_sec	latency_mean_ms	latency_p50_ms	latency_p75_ms	latency_p95_ms	total_ops	total_errors	duration_seconds
create	10K	32	1750.032786885246	17.09016393442623	4.378	3.272	5.095	0	106752	0	61.041
create	1M	32	342.6885245901639	342.6885245901639	22.402	18.061	25.729	0	20904	0	61.031
create	10K	1	324.5409836065574	3.169345543032787	2.825	2.331	2.723	0	19797	0	61.029
create	10K	8	2439.032786885246	23.81867955942623	2.688	2.255	2.679	0	148781	0	61.021
create	10K	32	2917.1803278688526	28.48808913934426	2.642	2.164	2.602	0	177948	1	61.024
read	10K	1	0.0	0.0	0.000	0	0	0	0	22222	61.025
